overshotting,mass,metallicity,He_Abundance,"""Age""","""Log L""","""Log Teff""","""Log g""","""Log Tc""",Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
1,0.4,0.008,0.25,0.0,-1.565,3.597,4.94,6.918,1.888,0.736,0.00137,0.00385,0.1092,0.2989,-1.563,0.0,0.0359,0.0,0.0,0.0,0.0,0.0,0.0
1,0.4,0.008,0.25,5960000000.0,-1.545,3.598,4.923,6.914,1.895,0.7,0.00136,0.00385,0.0067,0.3639,-1.545,0.0,0.0247,0.0,0.0,0.0,0.0,0.0,0.0
1,0.4,0.008,0.25,20300000000.0,-1.525,3.599,4.91,6.921,1.955,0.598,0.00126,0.00385,0.0,0.4137,-1.525,0.0,0.0247,0.0,0.0,0.0,0.0,0.0,0.0
1,0.4,0.008,0.25,23100000000.0,-1.522,3.6,4.907,6.923,1.967,0.581,0.00124,0.00385,0.0,0.4243,-1.522,0.0,0.0247,0.0,0.0,0.0,0.0,0.0,0.0
1,0.45,0.008,0.25,0.0,-1.445,3.606,4.907,6.933,1.884,0.736,0.00137,0.00385,0.0734,0.3051,-1.443,0.0,0.0407,0.0,0.0,0.0,0.0,0.0,0.0
1,0.45,0.008,0.25,4050000000.0,-1.426,3.607,4.891,6.928,1.895,0.7,0.00134,0.00385,0.0,0.5148,-1.426,0.0,0.0407,0.0,0.0,0.0,0.0,0.0,0.0
1,0.45,0.008,0.25,16100000000.0,-1.401,3.609,4.873,6.936,1.957,0.598,0.00118,0.00385,0.0,0.5858,-1.4,0.0,0.0407,0.0,0.0,0.0,0.0,0.0,0.0
1,0.45,0.008,0.25,23400000000.0,-1.386,3.61,4.864,6.943,1.996,0.542,0.00106,0.00385,0.0,0.5965,-1.386,0.0,0.0438,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5,0.008,0.25,0.0,-1.314,3.617,4.865,6.951,1.885,0.735,0.00136,0.00385,0.0572,0.3051,-1.312,0.0,0.0509,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5,0.008,0.25,2980000000.0,-1.296,3.617,4.849,6.945,1.9,0.699,0.00129,0.00385,0.0,0.5148,-1.296,0.0,0.0634,0.0,0.0,0.0,0.0,0.0,0.0
